final_yield_optimized,final_yield_constant,purity
0.08080974641342985,0.03140305327406413,0.85
0.19889477134278918,0.07902319857357275,0.65
0.09484102832240389,0.04142274123599134,0.8
0.1217052642541765,0.05138688910952922,0.75
0.15061871389246237,0.06438476691231548,0.7
0.056092656996504724,0.022656312521894824,0.9
0.2746456386134701,0.09604100648752004,0.6
0.39453908171564595,0.11884235922853889,0.55
0.1500621257947546,0.06438476691231548,0.7
0.27874584031853394,0.09604100648752004,0.6
0.19878400027957893,0.07902319857357275,0.65
0.5132804357966314,0.15009971840567293,0.5
0.11708853190422307,0.05138688910952922,0.75
0.09657511303979312,0.04142274123599134,0.8
0.07865806626825808,0.03140305327406413,0.85
0.05762000240808912,0.022656312521894824,0.9
0.05862174105294649,0.022656312521894824,0.9
0.055477668306020335,0.022656312521894824,0.9
0.05639136857172062,0.022656312521894824,0.9
0.07923827350326888,0.03140305327406413,0.85
0.09490655250087103,0.04142274123599134,0.8
0.07531573087934731,0.03140305327406413,0.85
0.07832602516408456,0.03140305327406413,0.85
0.0795698409635157,0.03140305327406413,0.85
0.05751728796561146,0.022656312521894824,0.9
0.05774762117264983,0.022656312521894824,0.9
0.07709087171505583,0.03140305327406413,0.85
0.1219503877048978,0.05138688910952922,0.75
0.09736607856229584,0.04142274123599134,0.8
0.09820670410542777,0.04142274123599134,0.8
0.09822107357266535,0.04142274123599134,0.8
0.12154863929126705,0.05138688910952922,0.75
0.1154471865670744,0.05138688910952922,0.75
0.09777133893598247,0.04142274123599134,0.8
0.12043803400653806,0.05138688910952922,0.75
0.15024993491105448,0.06438476691231548,0.7
0.27046146563281076,0.09604100648752004,0.6
0.11981472841708327,0.05138688910952922,0.75
0.14836244243724248,0.06438476691231548,0.7
0.15092857781793204,0.06438476691231548,0.7
0.15167186696138923,0.06438476691231548,0.7
0.14937231370178103,0.06438476691231548,0.7
0.19872411031999737,0.07902319857357275,0.65
0.19280822230953423,0.07902319857357275,0.65
0.19924923860146698,0.07902319857357275,0.65
0.285891515870752,0.09604100648752004,0.6
0.1995357970984199,0.07902319857357275,0.65
0.19770325402344885,0.07902319857357275,0.65
0.3858741759885127,0.11884235922853889,0.55
0.28204239164152367,0.09604100648752004,0.6
0.2788665047166475,0.09604100648752004,0.6
0.5122201532716333,0.15009971840567293,0.5
0.27799642152483006,0.09604100648752004,0.6
0.39363073012779,0.11884235922853889,0.55
0.40002688922960516,0.11884235922853889,0.55
0.5112984498729165,0.15009971840567293,0.5
0.3831325903555349,0.11884235922853889,0.55
0.49877866497079104,0.15009971840567293,0.5
0.40638074800650265,0.11884235922853889,0.55
0.5163687462320984,0.15009971840567293,0.5
0.5156183227040021,0.15009971840567293,0.5