yield,time,purity
0.22167488888248787,3.0,0.6
0.12157964545541974,3.0,0.8
0.3419764092465841,3.0,0.5
0.11741618246146344,6.0,0.8
0.17225583329989466,3.0,0.7
0.3484640871284618,9.0,0.5
0.16490980513711345,12.0,0.7
0.16701834858856582,6.0,0.7
0.339733479817029,6.0,0.5
0.07577190978004839,3.0,0.9
0.1595880654057698,15.0,0.7
0.0750817432438505,9.0,0.9
0.2308110720209637,6.0,0.6
0.3863252842359792,12.0,0.5
0.16662059300647514,9.0,0.7
0.0743032444293279,6.0,0.9
0.123450637339777,9.0,0.8
0.22306518946194043,12.0,0.6
0.23223057684610723,9.0,0.6
0.07382583477653039,18.0,0.9
0.11356517403778686,12.0,0.8
0.1696593324960447,30.0,0.7
0.31419982633007587,18.0,0.6
0.6477771431742527,42.0,0.5
0.1681297845819434,33.0,0.7
0.07214537055895379,12.0,0.9
0.4464431638838494,15.0,0.5
0.2860145289387408,15.0,0.6
0.31770782351249605,36.0,0.6
0.6892719079178452,48.0,0.5
0.06966516186449659,15.0,0.9
0.30916238822741815,39.0,0.6
0.11566799844618687,15.0,0.8
0.5351486461506224,21.0,0.5
0.6749084964574563,45.0,0.5
0.4949516045537699,18.0,0.5
0.16696739407419126,18.0,0.7
0.17099162198348256,21.0,0.7
0.31261658847146256,21.0,0.6
0.28924370215689565,57.0,0.6
0.11280321872399354,18.0,0.8
0.1696711559088886,24.0,0.7
0.10889779483234796,48.0,0.8
0.31987639993195777,24.0,0.6
0.5550254419774476,24.0,0.5
0.11454698173023561,21.0,0.8
0.2850849866509086,60.0,0.6
0.07053263016446068,21.0,0.9
0.5738946876927659,27.0,0.5
0.17135659800933448,27.0,0.7
0.3230109221044264,27.0,0.6
0.07063794073436482,24.0,0.9
0.3181848425502448,30.0,0.6
0.11337318100555192,27.0,0.8
0.1130253483974398,24.0,0.8
0.06464816795428599,54.0,0.9
0.6006158996914877,30.0,0.5
0.6295046207456108,33.0,0.5
0.07011043980347517,27.0,0.9
0.06909162366826073,30.0,0.9
0.31836915632929724,33.0,0.6
0.11034364533398153,30.0,0.8
0.6511068302754124,36.0,0.5
0.11103380181984283,36.0,0.8
0.16734033796014725,39.0,0.7
0.16628428423294528,36.0,0.7
0.11231181296378587,33.0,0.8
0.06995665968362938,33.0,0.9
0.6685430661735897,39.0,0.5
0.06931904371911538,36.0,0.9
0.30265159897525845,45.0,0.6
0.1653285491414605,42.0,0.7
0.11163970046371008,39.0,0.8
0.06757435697806587,39.0,0.9
0.3105135739001289,42.0,0.6
0.11068010107058875,42.0,0.8
0.16443453730011942,45.0,0.7
0.0675330014559295,45.0,0.9
0.06877474626198975,42.0,0.9
0.3040619323945265,51.0,0.6
0.10879734165900629,45.0,0.8
0.3036726142327121,48.0,0.6
0.3007874166425554,54.0,0.6
0.10885046242930495,51.0,0.8
0.16215979333420066,48.0,0.7
0.6850400936308727,51.0,0.5
0.16162193920917106,51.0,0.7
0.6877930769675392,54.0,0.5
0.10639415359447306,57.0,0.8
0.06358995362264724,48.0,0.9
0.159640098435284,54.0,0.7
0.05235398920195195,51.0,0.9
0.06535993535659435,57.0,0.9